cust_name,id,review_date,review_title,review_description,range_used,review_score
Loïc,245,2022-07-09,m'en suis servi que…,m'en suis servi que deux ou trois fois c mon fils qui les utilises il en est contant,Utilise ce produit depuis 3 à 6 mois,4
Gregory,246,2022-04-09,Bon produit,Bon produit,Utilise ce produit depuis 2 à 8 semaines,5
Antoine,247,2022-02-09,Haltères,"Bonne livraison ! Une journée de retard mais rien de mal, Super produit! Je recommande",Utilise ce produit depuis 1 semaine ou moins,5
Jennifer,248,2022-02-09,Acheté en cadeau et…,Acheté en cadeau et il en est très satisfait,Utilise ce produit depuis 1 semaine ou moins,5
Mathieu,249,2022-08-31,Bon produit mais les…,"Bon produit mais les fixations à filetage, c'est un peu dépassé et peu pratique. Cordialement",Utilise ce produit depuis 2 à 8 semaines,4
Patricia,250,2022-08-31,Mon fils en est…,Mon fils en est ravi et le côté très pratique c'est que l'on peu les transportés partout,Utilise ce produit depuis 2 à 8 semaines,5
Anaïs,251,2022-08-30,Au top pour les…,"Au top pour les entraînements à la maison, pratique avec la malette de rangement.",Utilise ce produit depuis 2 à 8 semaines,5
Cedric,252,2022-08-30,Très bonnes haltères pour…,Très bonnes haltères pour commencer la musculation. Par contre le prix a vachement augmenté il me semble les avoir payés 40e il y a 2 où 3 ans. Je recommande tout de même. La valise permet d'y ranger votre matériel ce que je trouve très pratique au lieu de laisser traîner les poids au sol.,Utilise ce produit depuis 1 semaine ou moins,5
CHRISTOPHE,253,2022-08-29,Bon produit mais petit…,"Bon produit mais petit bémol car les écrous se desserrent pendant les exercices, sans bruit et rapidement. Les écrous disposent d’un joint d’un côté, dans le doute j’ai testé les deux côtés avec le même résultat…dommage",Utilise ce produit depuis 2 à 8 semaines,3
PASCAL,254,2022-08-29,Très bon produit,Très bon produit,Utilise ce produit depuis 2 à 8 semaines,5
Isabelle,255,2022-08-29,La palette de 20…,La palette de 20 kg est géniale : facile de rangement. Le système d’attache des disques est très facile et surtout très efficace . Merci au conseiller pour cette sélection,Utilise ce produit depuis 1 semaine ou moins,5
Diego,256,2022-08-28,Bon produit,Bon produit,Utilise ce produit depuis 1 semaine ou moins,5
Michel,257,2022-08-28,Efficace,Efficace,Utilise ce produit depuis 1 semaine ou moins,3
Jennifer,258,2022-08-28,Bon produit. Au bout…,Bon produit. Au bout de quelques excercice les barres font mal aux mains. Prendre des gants pour éviter les blessures .,Utilise ce produit depuis 3 à 6 mois,4
Stephane,259,2022-08-27,Très bien pour un…,Très bien pour un jeune débutant.,Utilise ce produit depuis 7 à 12 mois,5
Christian,260,2022-08-27,dommage que c'est à…,"dommage que c'est à visser pour serrer les poids, beaucoup mieux et rapide par pince",Utilise ce produit depuis 1 semaine ou moins,4
Denis,261,2022-08-26,Excellent,Excellent,Utilise ce produit depuis 2 à 8 semaines,5
Johan,262,2022-08-25,Tres bon kit,Tres bon kit,Utilise ce produit depuis 2 à 8 semaines,5
David,263,2022-08-25,Non produit,Non produit,Utilise ce produit depuis 1 semaine ou moins,5
Philippe,264,2022-08-24,très bien,très bien pour débuter à la maison,Utilise ce produit depuis 2 à 8 semaines,5
Véronique,265,2022-08-24,Parfait,Parfait,Utilise ce produit depuis 7 à 12 mois,5
Chantal,266,2022-08-22,Ce qu'ils nous fallait,Ce qu'ils nous fallait,Utilise ce produit depuis 1 semaine ou moins,5
Estelle,267,2022-08-22,Parfait!,"Très utile pour faire des séries de musculation. La valise est super pour transporter le matériel en vacances ou autre sans prendre trop de place. Je conseille d’acheter en supplément des embouts en plastiques, il s’achète à l’unité, plus pratique et rapide que les écrous.",Utilise ce produit depuis 2 à 8 semaines,5
Vincent,268,2022-08-22,Idéal pour commencer,Idéal pour commencer,Utilise ce produit depuis 2 à 8 semaines,5
Julia,269,2022-08-21,Très bon produit,Très bon produit,Utilise ce produit depuis 1 semaine ou moins,5
Emilien,270,2022-08-20,Manque 2 poids de…,Manque 2 poids de 1kg,Utilise ce produit depuis 2 à 8 semaines,1
Aurélie,271,2022-08-19,Parfait et rangement pratique,Parfait et rangement pratique,Utilise ce produit depuis 2 à 8 semaines,5
Nathalie,272,2022-08-18,Bon rapport qualité prix,Bon rapport qualité prix,Utilise ce produit depuis 1 semaine ou moins,5
Alexandre,273,2022-08-15,Bon choix pour utiliser…,Bon choix pour utiliser l’appli coach musculation !,Utilise ce produit depuis 2 à 8 semaines,4
Joseph,274,2022-08-15,Les joints ont tendance…,Les joints ont tendance à partir des la 1 et utilisation sinon .Bon rapport qualité prix.,Utilise ce produit depuis 2 à 8 semaines,4
Alfonso,275,2022-08-14,Bon rapport qualité/prix,Me permet de réaliser des exercices chez moi en complément de la salle de sport,Utilise ce produit depuis 3 à 6 mois,5
Nordine,276,2022-08-13,Excellent produit pas trop…,Excellent produit pas trop cher,Utilise ce produit depuis 2 à 8 semaines,5
Damien,277,2022-08-13,Produit au top je…,Produit au top je recommande sauf un bémol les écrous de serrage qui se dévissent parfois en plein action…,Utilise ce produit depuis 2 à 8 semaines,4
Jacques,278,2022-12-08,Excellent produit polyvalent. Le…,Excellent produit polyvalent. Le meilleur rapport qualité prix du marché !,Utilise ce produit depuis 2 à 8 semaines,5
Matéo,279,2022-10-08,"Super kit pour débuter,…","Super kit pour débuter, après vous pouvez toujours acheter des poids pour augmenter le niveau",Utilise ce produit depuis 1 semaine ou moins,3
Thierry,280,2022-09-08,Pratique de le muscu…,"Pratique de le muscu à domicile, hypers pratiques..",Utilise ce produit depuis Plus de 2 ans,5
Patrick,281,2022-08-08,"Bon produit, simple et…","Bon produit, simple et pratique.",Utilise ce produit depuis 2 à 8 semaines,4
Clarence,282,2022-07-08,tres bon,sauf le système de serrage des barres qui est tres contraignant,Utilise ce produit depuis Plus de 2 ans,4
Fabrice,283,2022-07-08,Prix correct pour ce…,Prix correct pour ce kit haltères. Top,Utilise ce produit depuis 2 à 8 semaines,5
Gregory,284,2022-06-08,haltère,Très bon produit. Toujours des super produits chez décathlon,Utilise ce produit depuis 2 à 8 semaines,5
Thierry,285,2022-06-08,Permet de se muscler…,Permet de se muscler tranquillement,Utilise ce produit depuis 3 à 6 mois,5
KARIM,286,2022-06-08,Complet pour un debutant,Complet pour un debutant,Utilise ce produit depuis 7 à 12 mois,5
MARIE PIERRE,287,2022-05-08,Coffret idéal pour débuter,Coffret idéal pour débuter,Utilise ce produit depuis 7 à 12 mois,5
Elisabeth,288,2022-05-08,bon produit,bon produit,Utilise ce produit depuis 7 à 12 mois,5
Julie,289,2022-05-08,Parfait ! La mallette…,Parfait ! La mallette de rangement s'avère très utile.,Utilise ce produit depuis 3 à 6 mois,5
Jessica,290,2022-05-08,Facile d’utilisation très pratique,Facile d’utilisation très pratique,Utilise ce produit depuis 3 à 6 mois,5
Julie,291,2022-05-08,Kit très pratique à…,Kit très pratique à l’emploi et de bonne qualité cependant les bars et les vis ne tiennent pas lorsque l’on veut fermer la boîte.,Utilise ce produit depuis 2 à 8 semaines,4
Corinne,292,2022-05-08,Bon produit,Bon produit,Utilise ce produit depuis 7 à 12 mois,5
Sandra,293,2022-04-08,Tres difficile e de…,Tres difficile e de porter la mallette  du magasin a la voiture tres loud quand on est pas encore musclé,Utilise ce produit depuis 7 à 12 mois,5
Valérie,294,2022-04-08,Me convient parfaitement,Me convient parfaitement,Utilise ce produit depuis 3 à 6 mois,5
Reynald,295,2022-04-08,J'ai pu faire pas…,"J'ai pu faire pas mal d'exercice pour me remettre en forme avant d'aller n salle. Maintenant, les pois vont servir pour une barre d' 1m55",Utilise ce produit depuis 7 à 12 mois,5
Yannick,296,2022-04-08,parfait pour les compléments…,"parfait pour les compléments d'entrainement (ici triathlon)
attention les visses ne sont pas autobloquante / Favoriser les circlip",Utilise ce produit depuis 1 semaine ou moins,3
Andrea,297,2022-01-08,très bon produit,excellent pour home gym. Dommage que au bout des quelques mois d'utilisation les parties en gomme ce sont défait. A part cela est un très bon produit,Utilise ce produit depuis Plus d'un an,4
Honore,298,2022-01-08,MERCI,MERCI,Utilise ce produit depuis 2 à 8 semaines,5
Ronan,299,2022-01-08,Très bon produit,Très bon produit,Utilise ce produit depuis 2 à 8 semaines,5
